IS_WORKDAY,O_DATA,O_HOUR,O_LINENO,O_MAXSTOP,O_ORDER,O_TERMINALNO,O_UP,O_WEATHER,O_WEEKDAY,after_stop,after_time,after_up,before_stop,before_time,before_up,predHour,predRelative,pred_end_stop_ID,pred_start_stop_ID,time_delta
True,10-25,9,866,39,12,905578,0,0,3,36,18008.0,0,9,14337.0,0,9:00:00,14400.0,35,9,63.0
True,10-25,9,673,43,15,900203,1,0,3,10,18002.0,0,37,14383.0,1,9:00:00,14400.0,42,37,17.0
True,10-25,15,868,37,21,900836,0,0,3,34,39606.0,0,9,35925.0,0,15:00:00,36000.0,33,9,75.0
True,10-25,7,652,85,41,903929,1,0,3,85,10803.0,1,67,7123.0,1,7:00:00,7200.0,84,67,77.0
True,10-25,7,55050,21,42,905821,0,0,3,21,10807.0,0,7,7127.0,0,7:00:00,7200.0,20,7,73.0
True,10-25,7,34,26,43,912368,1,0,3,13,10806.0,0,12,7094.0,1,7:00:00,7200.0,25,13,106.0
True,10-25,13,606,41,45,900499,0,0,3,40,32406.0,0,10,28555.0,0,13:00:00,28800.0,39,10,245.0
True,10-25,9,862,33,58,901091,1,0,3,28,18302.0,1,17,14347.0,1,9:00:00,14400.0,30,17,53.0
True,10-25,17,308,21,60,901354,1,0,3,21,46803.0,1,11,43162.0,1,17:00:00,43200.0,20,11,38.0
True,10-25,13,1,31,76,902756,1,0,3,3,32408.0,0,10,28677.0,1,13:00:00,28800.0,21,11,123.0
True,10-25,21,619,44,77,904727,0,0,3,10,28677.0,1,11,57542.0,0,21:00:00,57600.0,43,11,58.0
True,10-25,15,629,53,81,901581,1,0,3,11,57542.0,0,17,35943.0,1,15:00:00,36000.0,39,17,57.0
True,10-25,15,458,32,84,901533,1,0,3,2,39602.0,0,23,35951.0,1,15:00:00,36000.0,31,23,49.0
True,10-25,19,804,26,106,911521,0,0,3,6,54005.0,1,7,50192.0,0,19:00:00,50400.0,23,7,208.0
True,10-25,7,610,36,110,906378,0,0,3,7,10801.0,1,18,7146.0,0,7:00:00,7200.0,35,18,54.0
True,10-25,11,30,24,111,905296,0,0,3,2,25208.0,1,16,21563.0,0,11:00:00,21600.0,23,16,37.0
True,10-25,19,912,36,123,907276,1,0,3,13,54003.0,0,31,50351.0,1,19:00:00,50400.0,35,31,49.0
True,10-25,7,700,38,130,902697,0,0,3,38,10807.0,0,21,7186.0,0,7:00:00,7200.0,37,21,14.0
True,10-25,19,7052,54,146,903554,0,0,3,19,54002.0,1,47,50342.0,0,19:00:00,50400.0,52,47,58.0
