O_DATA,O_LINENO,O_TERMINALNO,predHour,pred_start_stop_ID,pred_end_stop_ID,pred_timeStamps
10-28,678,904388,14:00:00,12,33,76;214;270;340;521;651;739;858;1001;1154;1301;1491;1651;1890;1974;2180;2283;2369;2538;2814;2884;3011
10-26,13,902540,17:00:00,7,19,7;68;248;307;428;629;714;799;849;1039;1090;1183;1346
10-27,711,906948,13:00:00,12,44,60;168;247;308;352;393;466;567;624;771;816;860;1031;1108;1165;1279;1438;1503;1588;1696;1754;1858;1976;2108;2264;2331;2388;2498;2566;2660;2752;2932;3153
10-28,912,907336,12:00:00,8,31,20;85;233;341;511;719;967;1073;1213;1353;1553;1752;1938;2132;2196;2350;2535;2592;2770;2890;3113;3294;3409;3469
10-28,746,905258,8:00:00,5,13,33;383;1433;1730;1887;2037;2242;2473;2570
10-27,22,912205,9:00:00,18,29,38;154;298;414;503;569;719;966;1072;1166;1241;1287
10-31,619,904719,8:00:00,3,21,45;234;318;483;615;715;902;1114;1251;1384;1500;1605;1744;1846;1946;2172;2259;2321;2471
10-29,610,905251,16:00:00,26,33,47;218;306;384;583;643;759;955
10-28,186,906477,10:00:00,34,44,20;83;178;446;584;755;911;1133;1385;1501;1874
10-30,600,905259,16:00:00,8,25,71;270;484;755;975;1178;1400;1568;1722;2024;2158;2247;2345;2534;2646;2712;2993;3531
10-26,211,902067,9:00:00,7,31,8;64;196;326;366;445;513;541;580;677;717;833;914;984;1053;1148;1208;1265;1343;1411;1495;1601;1737;1823;1909
10-30,750,905339,8:00:00,4,17,1;191;262;365;502;612;727;814;932;972;1039;1142;1301;1492
10-25,866,905578,9:00:00,9,35,31;153;277;438;509;653;769;839;963;1145;1278;1436;1529;1671;1721;1822;2079;2179;2329;2418;2534;2719;2830;2930;3037;3172;3265
10-26,806,906546,7:00:00,27,31,90;160;243;437;527
10-29,906,906976,10:00:00,32,37,43;154;234;386;521;738
10-25,673,900203,9:00:00,37,42,133;247;346;452;559;674
10-29,804,911512,8:00:00,13,25,53;154;302;385;574;715;947;1057;1311;1573;1707;1888;1964
10-30,572,903040,10:00:00,18,24,66;129;196;296;399;482;622
10-27,4593,907410,17:00:00,44,58,66;144;221;303;376;525;931;1007;1059;1121;1312;1408;1564;1836;1927
10-28,841,900866,8:00:00,26,41,117;272;366;632;744;844;920;1068;1272;1381;1475;1567;1741;1847;1944;2027
10-31,902,905380,10:00:00,18,24,39;217;404;522;687;761;827
10-25,868,900836,15:00:00,9,33,24;126;244;497;615;722;1020;1130;1264;1557;1702;2008;2133;2422;2543;2689;2850;3073;3191;3286;3374;3543;3660;3833;3955
