O_DATA,O_LINENO,O_TERMINALNO,predHour,pred_start_stop_ID,pred_end_stop_ID,pred_timeStamps
10-28,678,904388,14:00:00,12,33,76;214;289;390;593;723;811;930;1073;1226;1373;1563;1723;1962;2046;2252;2355;2441;2610;2886;2956;3083
10-26,13,902540,17:00:00,7,19,57;160;340;455;600;838;968;1068;1166;1356;1438;1566;1729
10-27,711,906948,13:00:00,12,44,60;168;247;308;352;393;466;567;624;771;816;860;1031;1108;1165;1279;1438;1503;1588;1696;1754;1858;1976;2108;2264;2331;2388;2498;2566;2660;2752;2932;3153
10-28,912,907336,12:00:00,8,31,20;75;223;331;475;683;931;1037;1177;1317;1517;1716;1902;2096;2160;2314;2499;2556;2734;2854;3077;3258;3373;3433
10-28,746,905258,8:00:00,5,13,33;383;1433;1730;1887;2037;2242;2473;2570
10-27,22,912205,9:00:00,18,29,38;154;298;414;503;569;719;966;1072;1166;1255;1301
10-31,619,904719,8:00:00,3,21,0;189;273;438;570;670;857;1069;1206;1431;1547;1735;1926;2078;2243;2469;2614;2676;2826
10-29,610,905251,16:00:00,26,33,41;212;300;378;577;667;783;979
10-28,186,906477,10:00:00,34,44,20;83;178;446;584;755;911;1133;1385;1501;1874
10-30,600,905259,16:00:00,8,25,71;270;537;808;1028;1231;1453;1621;1775;2077;2211;2300;2398;2587;2699;2765;3046;3584
10-26,211,902067,9:00:00,7,31,8;64;185;315;358;441;509;546;594;691;748;864;945;1015;1084;1164;1232;1275;1353;1421;1505;1611;1747;1833;1919
10-30,750,905339,8:00:00,4,17,1;191;262;365;502;612;727;814;932;985;1052;1155;1314;1505
10-25,866,905578,9:00:00,9,35,31;153;277;438;509;653;769;845;1020;1202;1335;1493;1586;1728;1800;1901;2162;2299;2423;2525;2658;2808;2919;3019;3126;3261;3354
10-26,806,906546,7:00:00,27,31,90;189;272;466;603
10-29,906,906976,10:00:00,32,37,43;154;234;386;521;738
10-25,673,900203,9:00:00,37,42,133;247;346;452;559;674
10-29,804,911512,8:00:00,13,25,53;154;302;385;574;715;947;1057;1311;1573;1707;1888;1964
10-30,572,903040,10:00:00,18,24,66;129;196;296;399;482;622
10-27,4593,907410,17:00:00,44,58,109;187;264;346;467;616;1022;1129;1212;1309;1500;1596;1752;2024;2115
10-28,841,900866,8:00:00,26,41,117;272;366;632;744;844;920;1068;1272;1381;1475;1567;1741;1847;1944;2027
10-31,902,905380,10:00:00,18,24,39;217;404;522;687;761;827
10-25,868,900836,15:00:00,9,33,24;126;244;497;615;722;1020;1133;1300;1593;1764;2070;2219;2508;2629;2775;2936;3159;3277;3372;3460;3629;3746;3919;4041
10-26,961,903075,15:00:00,8,36,19;106;210;273;343;422;501;642;699;825;1030;1203;1374;1567;1685;1800;1997;2112;2271;2334;2390;2519;2577;2649;2858;2917;3003;3078;3162
10-29,641,902645,8:00:00,26,43,15;129;290;524;678;782;927;1038;1141;1223;1302;1429;1554;1695;1792;1983;2043;2099
10-31,570,901151,18:00:00,4,12,55;425;661;1020;1830;2343;2763;3021;3383
10-26,841,902925,19:00:00,31,41,61;137;286;493;597;692;784;956;1071;1176;1273
10-28,751,942260,20:00:00,19,25,20;90;133;176;276;401;510
10-31,651,902941,12:00:00,21,26,87;238;521;571;683;800
10-26,802,903049,19:00:00,13,28,37;87;233;316;371;447;588;681;747;887;1004;1175;1264;1298;1402;1499
10-27,533,900680,17:00:00,8,27,0;110;185;320;456;539;624;678;772;887;1025;1155;1222;1324;1412;1538;1635;1718;1797;1905
10-27,871,906829,13:00:00,33,39,28;97;158;354;489;536;584
